asvab,annualearnings,privatecollege,dadcollege,momcollege
5653,25000,0,0,1
69099,42000,0,0,1
32051,39333.332,0,0,0
93197,61000,0,1,1
91167,47000,0,1,1
80478,,0,0,0
36408,24666.666,0,0,0
72386,26666.666,0,1,1
99296,67000,1,1,0
88964,63333.332,0,0,0
84913,,0,1,1
45561,85000,1,1,1
95276,282167.5,1,1,0
81914,56333.332,1,1,0
41692,58333.332,0,0,0
31636,46000,0,1,0
76716,89000,0,0,1
97100,110000,0,1,1
82439,120000,0,1,1
61733,13250,0,0,0
37429,80333.336,0,0,0
60022,,0,0,0
82357,21666.666,0,0,0
86453,227111.67,0,1,1
56876,71666.664,1,1,1
84504,87666.664,0,0,0
92602,51333.332,1,1,1
58604,89333.336,0,0,0
74177,44666.668,0,1,0
83625,,1,1,1
21256,30000,0,0,0
68903,47333.332,0,0,1
48252,55333.332,0,0,0
82978,168628,1,1,0
79078,97000,0,1,0
99339,55666.668,1,1,1
89615,170880.33,1,1,1
67207,187150.33,1,1,1
5465,20000,0,0,1
68961,75000,0,1,0
79171,75666.664,0,1,0
74215,51233.332,0,0,0
57236,66333.336,0,1,1
90887,57500,1,1,1
84093,45666.668,0,0,0
81571,125333.34,1,0,1
96532,32000,1,1,1
82532,32000,1,1,1
95219,98333.336,0,1,1
83831,,1,0,0
93614,89333.336,0,1,0
52248,21666.666,0,1,0
81259,45333.332,0,1,1
77112,66666.664,0,1,1
98216,109000,0,1,1
99676,96333.336,0,1,1
93986,14500,0,0,1
42883,72333.336,0,0,0
77643,30433.334,0,0,0
32301,71333.336,0,0,0
46246,65000,0,1,0
64181,28333.334,0,1,1
38432,28500,0,1,1
37179,51000,0,1,1
29243,47333.332,0,1,0
29248,12833.333,0,1,1
84858,88949,0,1,0
83369,132500,0,1,1
39320,,1,1,1
81029,18000,0,1,1
27000,73000,0,1,1
52433,,0,1,1
8705,24500,1,1,1
52157,45000,0,1,1
94363,47666.668,0,1,1
84232,258992,0,1,0
59867,151320.5,0,0,0
95341,71333.336,0,1,1
77427,40666.668,0,0,0
89089,50000,0,0,1
67652,133666.67,0,1,1
76958,47666.668,0,1,1
76783,39333.332,0,1,1
51863,101666.66,0,0,0
58334,66666.664,0,1,0
24876,46666.668,0,0,0
50869,51666.668,0,0,0
46271,,0,0,0
100000,32800,1,1,1
95655,88333.336,0,1,1
95112,20000,1,1,1
40458,70000,1,1,1
98151,5000,0,1,0
86691,85000,1,1,0
16113,65000,0,0,0
28185,44000,0,1,1
96497,34416.668,1,1,1
53504,42396,0,1,1
78973,0,0,1,1
22722,15000,0,0,0
73848,70000,1,0,0
59571,258992,0,0,0
97784,16666.666,1,1,1
84582,71333.336,1,0,0
84844,,1,0,1
99184,41666.668,0,1,1
88357,,0,1,1
82600,123333.34,0,0,1
31388,31666.666,1,0,0
85854,128333.34,0,0,1
30796,30000,1,0,0
89261,92000,1,1,1
79890,70000,0,1,1
89380,104000,1,1,1
33212,58333.332,1,0,0
72105,74000,0,1,1
34419,55000,0,0,0
96906,151880.33,0,1,1
48138,44666.668,0,0,0
52219,36666.668,0,1,1
98261,65000,1,0,1
37775,51750,1,1,1
73210,75666.664,0,1,1
62617,65000,1,1,1
89008,96166.664,1,1,0
92098,13333.333,0,0,1
95580,258992,1,1,1
98327,122500,1,1,1
49221,119004,0,1,1
95930,25333.334,0,1,1
91591,32500,1,1,1
100000,68000,1,1,1
54946,92000,0,0,0
68012,42000,1,0,0
85126,108339.66,0,1,1
82847,67333.336,1,1,1
81610,70000,1,0,0
93080,37500,0,0,0
55194,71500,0,0,1
68585,32500,0,0,1
55872,70000,0,1,1
78712,35042.5,0,0,0
71536,95500,1,1,0
71171,113000,0,0,1
24335,25500,0,0,0
84766,73333.336,0,0,0
29173,46000,0,0,0
74510,61500,0,0,0
79870,34666.668,0,0,0
77125,80000,0,0,1
90300,61666.668,0,0,0
63870,51333.332,0,0,0
72410,42333.332,0,1,0
29230,62666.668,0,0,0
54739,46000,0,0,1
79886,98000,1,1,0
87609,49666.668,1,0,0
90480,29666.666,0,0,1
73189,59333.332,0,1,0
62563,28666.666,1,1,1
96742,33000,0,0,1
86988,95333.336,1,0,1
14911,46666.668,0,0,1
48620,214778.33,1,1,1
97469,51000,1,1,1
99641,62333.332,0,1,1
9783,,0,0,1
54210,32000,0,0,1
78687,55733.332,0,1,0
72721,86000,0,0,0
61145,54500,0,0,0
75354,56000,1,0,0
80326,,0,0,1
41298,,0,0,1
6386,26333.334,0,1,1
44247,46333.332,1,0,1
93459,35000,0,1,1
93817,101000,1,1,1
18616,24000,0,1,1
95919,82500,0,1,0
41152,71666.664,0,0,0
97369,96124.336,1,1,1
77097,125000,0,0,0
70813,120000,1,0,1
40428,63333.332,0,0,1
93715,24333.334,0,0,0
74335,82666.664,0,1,1
90283,48333.332,1,0,1
97843,61000,0,1,1
76635,36000,0,1,0
22164,7000,0,0,0
53166,116666.66,1,0,0
49666,41000,0,0,1
78023,66666.664,0,0,1
91950,49833.332,1,1,1
51463,38111,0,1,0
84880,12000,1,1,1
77961,67666.664,1,1,1
57944,,1,1,1
82761,81666.664,0,1,1
42699,39333.332,0,1,1
89868,62500,0,1,1
18182,44000,1,1,1
78271,52500,1,0,0
52789,36500,1,0,1
97965,165628,0,1,1
88299,82000,1,0,0
52689,31000,1,0,0
71055,60000,0,0,1
73382,106533.34,0,1,1
65715,270546,0,0,0
76190,,0,1,0
85846,26333.334,0,1,1
58753,58333.332,0,1,0
45865,48000,0,1,1
58951,120000,0,0,1
79681,120000,1,0,1
43557,110547,0,0,0
65459,56666.668,0,0,0
74488,30333.334,1,1,0
87807,60333.332,0,0,0
64555,108833.34,1,1,0
14298,75000,0,0,0
70471,80000,0,0,0
58470,48666.668,1,0,0
99351,224262.5,0,1,1
84039,258992,1,0,1
35476,71666.664,0,0,1
82412,5750,0,1,0
39130,52500,0,1,0
28442,20000,0,1,0
87199,25166.666,0,0,0
80575,39333.332,0,0,0
95999,60333.332,0,1,0
27716,49000,0,1,0
97379,258992,0,1,0
88631,52333.332,0,1,0
60757,65333.332,0,0,0
41945,36666.668,1,0,0
87024,36666.668,0,0,1
77177,96000,0,1,0
68093,40500,0,0,0
58083,33666.668,0,0,0
93435,46666.668,0,1,1
60376,68333.336,0,1,1
27370,42500,0,1,0
65948,5000,1,1,1
47018,81000,0,0,1
93884,161961.33,0,0,0
