age,enroll,priorearn,educ,female,nonwhite,z,married,foundjob
17,0,400,12,1,1,1,0,1
20,0,0,12,1,1,1,0,1
31,1,6000,11,0,1,1,0,1
21,0,9660,12,1,1,1,1,1
24,0,2000,12,0,1,1,1,1
29,0,11386,12,1,1,1,0,1
26,1,500,12,0,1,1,1,1
22,0,0,12,1,0,0,0,1
21,0,3000,12,0,0,0,0,1
20,0,0,12,1,0,0,0,1
51,1,1700,12,1,0,1,0,1
21,1,5025,11,0,1,1,0,1
33,1,10600,12,1,1,1,0,1
18,1,5000,9,1,0,1,0,1
20,0,0,13,1,1,0,0,1
39,1,6000,14,1,0,1,0,1
20,0,5000,12,1,0,0,1,1
32,0,1800,15,0,0,1,0,1
23,0,12000,10,0,0,0,1,1
37,1,0,8,0,1,1,1,1
20,0,1500,12,0,0,0,1,1
37,0,1735,10,1,1,1,1,1
31,1,400,12,1,0,1,0,1
17,1,4000,12,1,0,1,0,1
31,0,6517,14,1,1,0,0,1
26,0,3072,12,1,1,1,0,1
25,0,0,12,0,1,1,1,1
25,0,4686,12,1,0,0,0,1
20,0,880,10,0,1,0,1,1
20,0,1500,10,0,0,1,0,1
30,0,13000,12,0,1,0,1,1
28,1,4473,11,1,0,1,0,1
